archetype,priority_tier,deep_dive_priority_tier,first_shadow_scoring_candidate,positive_count,counterexample_count,status,price_patterns,positive_case_ids,counterexample_case_ids
CONTRACT_BACKLOG_INDUSTRIAL,1,1,True,3,1,needs_more_cases,STAIR_STEP_RERATING|SECTOR_SPREAD_RERATING|MARGIN_NORMALIZATION_RERATING,hd_hyundai_electric_2023|iljin_electric_2023_2024|hyosung_heavy_2023,daehan_cable_like_2026
DEFENSE_GOVERNMENT_BACKLOG,1,1,True,1,1,needs_more_cases,BACKLOG_RERATING|PROGRAM_MILESTONE_RERATING,hyundai_rotem_k2_export,defense_theme_no_backlog
SHIPBUILDING_OFFSHORE_BACKLOG,2,1,False,1,1,needs_more_cases,PRICE_ORDER_RERATING|BACKLOG_RERATING|CYCLE_SPIKE_NORMALIZATION,samsung_heavy_shipbuilding_cycle,shipbuilding_low_margin_backlog
EXPORT_RECURRING_CONSUMER,1,1,True,1,2,needs_more_cases,EXPORT_CHANNEL_RERATING|STAIR_STEP_RERATING,samyang_foods_2024,one_product_fad_consumer|consumer_recall_regulation
K_BEAUTY_EXPORT_DISTRIBUTION,1,1,True,2,2,covered_2x2,EXPORT_CHANNEL_RERATING|THEME_FRONT_RUN,silicontwo_2024|apr_kbeauty_device,kbeauty_china_dependency|kbeauty_channel_stuffing
MEMORY_HBM_CAPACITY,1,1,True,2,2,covered_2x2,CAPACITY_BOTTLENECK_RERATING|STAIR_STEP_RERATING|CYCLE_SPIKE_NORMALIZATION,sk_hynix_hbm_rerating|samsung_memory_recovery,sk_hynix_hbm_4b_watch|simple_dram_rebound
SEMI_EQUIPMENT_CAPEX,2,1,True,3,2,covered_2x2,CAPACITY_BOTTLENECK_RERATING|CYCLE_SPIKE_NORMALIZATION,hanmi_semi_hbm_equipment|ai_dc_power_grid|esopcb_ai_server,semi_equipment_customer_capex_cut|ai_dc_theme_no_order
MEDICAL_DEVICE_HEALTHCARE_EXPORT,2,1,False,2,3,covered_2x2,EXPORT_CHANNEL_RERATING|DIRECT_RERATING,classys_medical_export|samsung_biologics_cdmo,single_device_no_consumable|medical_approval_delay|cdmo_capacity_underutilization
FINANCIAL_SPREAD_BALANCE_SHEET,2,2,True,0,5,needs_more_cases,VALUE_UP_RERATING,,kb_financial_valueup|meritz_financial_return|low_pbr_no_roe_bank|pf_credit_cost_financial|sk_square_valueup
TURNAROUND_COST_RESTRUCTURING,2,2,False,0,0,needs_more_cases,DIRECT_RERATING,,
COMMODITY_SPREAD,2,3,False,1,1,needs_more_cases,CYCLE_SPIKE_NORMALIZATION,refining_spread_recovery,chemical_china_oversupply
SHIPPING_FREIGHT_CYCLE,1,1,True,1,1,needs_more_cases,CYCLE_SPIKE_NORMALIZATION,hmm_2021_freight_cycle,shipping_overcapacity_4c
BATTERY_MATERIALS_CAPEX_OVERHEAT,2,1,False,0,2,needs_more_cases,THEME_FRONT_RUN|CYCLE_SPIKE_NORMALIZATION,,ecopro_bm_2023|battery_capa_overbuild
AUTO_MOBILITY_COMPONENTS,2,2,False,0,0,needs_more_cases,VALUE_UP_RERATING|MARGIN_NORMALIZATION_RERATING,,
CONSTRUCTION_REAL_ESTATE_CREDIT,3,3,False,0,2,needs_more_cases,DIRECT_RERATING,,construction_pf_stress|overseas_infra_margin_contract
UTILITIES_REGULATED_TARIFF,3,3,False,0,2,needs_more_cases,DIRECT_RERATING,,nuclear_czech_policy_contract|nuclear_legal_delay
BIOTECH_REGULATORY,3,2,False,2,3,covered_2x2,REGULATORY_REVENUE_CONVERSION|THEME_FRONT_RUN,celltrion_biosimilar|alteogen_royalty,yuhan_lazertinib|prerevenue_clinical_biotech|biotech_cb_dilution
ROBOTICS_FACTORY_AUTOMATION,3,3,False,0,2,needs_more_cases,DIRECT_RERATING,,rainbow_robotics_samsung|robot_tam_no_revenue
PLATFORM_SOFTWARE_INTERNET,3,2,False,2,2,covered_2x2,DIRECT_RERATING,naver_platform_candidate|douzone_saas_candidate,kakao_governance_risk|mau_only_platform
GAME_CONTENT_IP,3,2,False,1,1,needs_more_cases,DIRECT_RERATING,krafton_ip_candidate,new_game_hype_fail
HOLDING_RESTRUCTURING_GOVERNANCE,3,2,False,0,3,needs_more_cases,DIRECT_RERATING,,korea_zinc_event_premium|holding_buyback_no_cancel|governance_dispute_no_fcf
ONE_OFF_EVENT_DEMAND,1,3,True,0,1,needs_more_counterexamples,CYCLE_SPIKE_NORMALIZATION,,seegene_2020_red
THEME_VALUATION_OVERHEAT,1,3,True,0,1,needs_more_counterexamples,THEME_FRONT_RUN|ACCOUNTING_TRUST_COLLAPSE,,smci_2024_accounting
RETAIL_DOMESTIC_CONSUMER,3,3,False,2,2,covered_2x2,DIRECT_RERATING,korean_air_reopening|megastudy_education,dutyfree_china_tourism_only|education_policy_regulation
GENERIC_UNCLASSIFIED,3,3,False,0,0,needs_more_counterexamples,DIRECT_RERATING,,
